ID;FictionWork;FictionWorkAuthor;FictionWorkYear;FirstFilmAdaptation;FilmAdaptationYear
2964;Ten Against Caesar (a. k. a. Trail's End at 'Dobe Town);Kathleen B. George and Robert A. Granger;1952;Gun Fury;1953
2965;The Terminal Man;Michael Crichton;1972;The Terminal Man;1974
2966;Terms of Endearment;Larry McMurtry;1975;Terms of Endearment;1983
2967;Tess of the d'Urbervilles;Thomas Hardy;1891;Tess of the d'Urbervilles;1913
2973;The Tesseract;Alex Garland;1998;The Tesseract;2003
2974;Tex;S. E. Hinton;1979;Tex;1982
2975;Texasville;Larry McMurtry;1987;Texasville;1990
2976;Theatre;W. Somerset Maugham;1937;Charming Julia (German: Bezaubernde Julia);1960
2981;There's a Porpoise Close Behind Us, Arthur Barker;Noel Langley;1936;These Foolish Things;2005
2982;These Foolish Things;Deborah Moggach;2004;The Best Exotic Marigold Hotel;2012
2984;They Came to Cordura;Glendon Swarthout;1958;They Came to Cordura;1959
2985;They Do It with Mirrors;Agatha Christie;1952;Murder Ahoy!;1964
2987;They Saved London;Bernard Newman;1955;Battle of the V-1;1958
2988;They Shoot Horses, Don't They?;Horace McCoy;1935;They Shoot Horses, Don't They?;1969
2989;"The Thief and the Dogs (Arabic: اللص والكلاب; al-liṣ wal-kilāb)";Naguib Mahfouz;1961;Chased by the Dogs;1962
2990;Thin Air;Robert B. Parker;1995;Thin Air;2000
2991;The Thirteenth Guest;Armitage Trail;1929;The Thirteenth Guest;1932
2993;The Thirty-Nine Steps;John Buchan;1915;The 39 Steps;1935
2997;Thieves Like Us;Frederick A. Stokes;1937;They Live by Night;1950
2999;Thomasina, the Cat Who Thought She Was God;Paul Gallico;1957;The Three Lives of Thomasina;1964
3000;Thor;Wayne Smith;1993;Bad Moon;1996
3001;The Three Godfathers;Peter B. Kyne;1913;The Three Godfathers;1916
3050;The Three Worlds of Johnny Handsome;Morton Freedgood;1973;Johnny Handsome;1989
3051;A Thrill a Minute with Jack Albany;Morton Freedgood;1967;Never a Dull Moment;1968
3052;Thunder Mountain;Zane Grey;1935;Thunder Mountain;1935
3054;Thunderball;Ian Fleming;1961;Thunderball;1965
3056;Thunderhead;Mary O'Hara;1943;Thunderhead, Son of Flicka;1945
3057;The Thundering Herd;Zane Grey;1925;The Thundering Herd;1925
3059;A Tiger Walks;Ian Niall;1960;A Tiger Walks;1964
3060;Time After Time;Karl Alexander;1979;Time After Time;1979
3061;The Time Machine;H. G. Wells;1895;The Time Machine;1960
3064;A Time to Kill;John Grisham;1989;A Time to Kill;1996
3065;The Time Traveler's Wife;Audrey Niffenegger;2003;The Time Traveler's Wife;2009
3066;Timeline;Michael Crichton;1999;Timeline;2003
3067;Tinker, Tailor, Soldier, Spy;John le Carré;1974;Tinker, Tailor, Soldier, Spy;2011
3068;To Catch a Thief;David F. Dodge;1952;To Catch a Thief;1955
3069;To Have and Have Not;Ernest Hemingway;1937;To Have and Have Not;1944
3073;To Kill a Mockingbird;Harper Lee;1960;To Kill a Mockingbird;1962
3074;To Sir, With Love;E. R. Braithwaite;1959;To Sir, with Love;1967
3076;To the Devil – a Daughter;Dennis Wheatley;1953;To the Devil a Daughter;1976
3077;To the Last Man;Zane Grey;1921;To the Last Man;1923
3079;"Toby Tyler; or, Ten Weeks with a Circus (serialised 1877), published as a book 1881), James Otis Kaler";NaN;NaN;Toby Tyler or 10 Weeks with a Circus;1960
3080;Toilers of the Sea (French: Les Travailleurs de la Mer);Victor Hugo;1866;Toilers of the Sea;1914
3085;Topaz;Leon Uris;1967;Topaz;1969
3086;Touch;Elmore Leonard;1987;Touch;1997
3087;The Tower;Richard Martin Stern;1973;The Towering Inferno;1974
3088;A Town Like Alice;Nevil Shute;1950;A Town Like Alice;1956
3089;The Track of the Cat;Walter Van Tilburg Clark;1949;Track of the Cat;1952
3090;Trainspotting;Irvine Welsh;1993;Trainspotting;1996
3092;The Trap (Spanish: La trampa);María Angélica Bosco;1960;The Unfaithful Love (Spanish: El Amor infiel);1974
3093;Treasure Island;Robert Louis Stevenson;1883;Treasure Island;1918
3118;The Treasure of the Sierra Madre;B. Traven;1927;The Treasure of the Sierra Madre;1948
3119;The Trial;Franz Kafka;1925;The Trial;1962
3122;Trinity's Child;William Prochnau;1983;By Dawn's Early Light;1990
3123;The Triumph of the Scarlet Pimpernel;Baroness Orczy;1922;The Triumph of the Scarlet Pimpernel;1928
3124;The Trouble with Harry;Jack Trevor Story;1950;The Trouble with Harry;1955
3125;True Grit;Charles Portis;1968;True Grit;1969
3129;The Turning Point (German: Der Aufenthalt);Hermann Kant;1977;The Turning Point;1983
3130;The Twenty-fifth Hour (Romanian: Ora 25);Constantin Virgil Gheorghiu;1949;The 25th Hour (French: La Vingt-cinquième Heure);1967
3131;Twenty Thousand Leagues Under the Seas (French: Vingt mille lieues sous les mers);Jules Verne;1870;20,000 Leagues Under the Sea;1916
3142;Twenty Years After (French: Vingt ans après);Alexandre Dumas, père;1845;The Return of the Musketeers;1989
3143;Twilight;Stephenie Meyer;2005;Twilight;2008
3148;Twilight for the Gods;Ernest K. Gann;1958;Twilight for the Gods;1958
3149;The Twins (Dutch: De Tweeling);Tessa de Loo;2000;Twin Sisters;2002
3150;Two-Gun Man;Stewart Edward White;1929;Under a Texas Moon;1929
3151;Two-Minute Warning;George La Fountaine;1975;Two-Minute Warning;1976
3152;Two Much!;Donald E. Westlake;1975;The Twin (French: Le jumeau);1984
3154;The Tunnel of Love;Peter De Vries;1954;The Tunnel of Love;1958
3155;Ugetsu Monogatari (雨月物語, Tales of Moonlight and Rain);Ueda Akinari;1776;Ugetsu;1953
3156;The Ugly Dachshund;Gladys Bronwyn Stern;1938;The Ugly Dachshund;1966
3157;The Unbearable Lightness of Being (Czech: Nesnesitelná lehkost bytí);Milan Kundera;1984;The Unbearable Lightness of Being;1988
3158;Uncharted Seas;Dennis Wheatley;1938;The Lost Continent;1968
3159;Uncle Remus;Joel Chandler Harris;1881;Song of the South;1946
3162;Under the Tonto Rim;Zane Grey;1926;Under the Tonto Rim;1928
3165;Undercover Cat;Gordon Gordon and Mildred Gordon;1963;That Darn Cat!;1965
3167;The Undersea Warship: A Fantastic Tale of Island Adventure (海島冐險奇譚 海底軍艦, Kaitō Bōken Kidan: Kaitei Gunkan);Shunrō Oshikawa;1900;Atragon;1963
3168;Unforbidden Fruit;Samuel Hopkins Adams;1927;The Wild Party;1929
3169;The Unforgiven;Alan Le May;1957;The Unforgiven;1960
3170;Union Street;Pat Barker;1982;Stanley & Iris;1989
3171;The Unknown Soldier (Finnish: Tuntematon sotilas);Väinö Linna;1954;The Unknown Soldier;1955
3174;Useless Cowboy;Alan Le May;1943;Along Came Jones;1945
3175;Valdez Is Coming;Elmore Leonard;1970;Valdez Is Coming;1971
3176;Valley of the Dolls;Jacqueline Susann;1966;Valley of the Dolls;1967
3177;Vampire$;John Steakley;1990;Vampires;1998
3180;Les Valseuses;Bertrand Blier;1974;Going Places;1974
3181;The Vanishing American;Zane Grey;1925;The Vanishing American;1925
3183;Vanity Fair;William Makepeace Thackeray;1847;Vanity Fair;1911
3190;Vanity Row;W. R. Burnett;1953;Accused of Murder;1956
3191;Vennello Adapilla;Yandamuri Veerendranath;1991;Beladingala Baale;1995
3192;Vengeance;[3] George Jonas;1984;Sword of Gideon;1986
3194;Vengeance Valley;Luke Short;1949;Vengeance Valley;1951
3195;Verses of Love (Indonesian: Ayat-Ayat Cinta);Habiburrahman El Shirazy;2003;Verses of Love;2008
3197;A Very Private Gentleman;Martin Booth;1990;The American;2010
3198;Vespers in Vienna;Bruce Marshall;1947;The Red Danube;1949
3199;The Vicomte of Bragelonne: Ten Years Later (French: Le Vicomte de Bragelonne ou Dix ans plus tard);Alexandre Dumas, père;1847;The Man in the Iron Mask;1923
3207;Victory;Joseph Conrad;1915;Victory;1919
3212;The Viking;Edison Marshall;1951;The Vikings;1958
3213;Viper Three;Walter Wager;1972;Twilight's Last Gleaming;1977
3214;The Virginian: A Horseman of the Plains;Owen Wister;1902;The Virginian;1914
3220;Vision Quest;Terry Davis;1979;Vision Quest;1985
3221;The Voice of Bugle Ann;MacKinlay Kantor;1935;The Voice of Bugle Ann;1936
3222;The Wages of Fear (French: Le Salaire de la peur);Georges-Jean Arnaud;1950;The Wages of Fear;1953
3226;The Wailing Asteroid;Murray Leinster;1960;The Terrornauts;1967
3227;A Walk to Remember;Nicholas Sparks;1999;A Walk to Remember;2002
3228;Walkabout (a.k.a. The Children);Donald G. Payne;1959;Walkabout;1971
3229;Walking Shadow;Robert B. Parker;1994;Walking Shadow;2001
3230;Waltz into Darkness;Cornell Woolrich;1947;Mississippi Mermaid;1969
3232;Wanderer of the Wasteland;Zane Grey;1923;Wanderer of the Wasteland;1924
3235;War and Peace;Leo Tolstoy;1869;War and Peace;1956
3237;War Horse;Michael Morpurgo;1982;War Horse;2011
3238;War of the Buttons (French: La Guerre des boutons);Louis Pergaud;1912;War of the Buttons ;1962
3240;The War of the Roses;Warren Adler;1981;The War of the Roses;1989
3241;The War of the Worlds;H. G. Wells;1898;The War of the Worlds;1953
3248;The Warriors;Sol Yurick;1965;The Warriors;1979
3249;A Watcher in the Woods;Florence Engel Randall;1976;The Watcher in the Woods;1980
3251;Water for Elephants;Sara Gruen;2006;Water for Elephants;2011
3252;The Water Hole;NaN;NaN;The Water Hole;1928
3253;Water Margin (Chinese: 水滸傳);Shi Nai'an;1963;The Water Margin (Chinese: 水滸傳);1972
3260;Watership Down;Richard Adams;1972;Watership Down;1978
3261;The Way West;A. B. Guthrie, Jr.;1949;The Way West;1967
3262;The Werewolf of Paris;Guy Endore;1933;The Curse of the Werewolf;1961
3264;West of the Pecos;Zane Grey;1937;West of the Pecos;1934
3266;The Wet Parade;Upton Sinclair;1931;The Wet Parade;1932
3267;What Do I See!? (Dutch: Wat zien ik!?);Albert Mol;1966;Business Is Business;1971
3268;What Dreams May Come;Richard Matheson;1978;What Dreams May Come;1998
3269;Whatever (French: Extension du domaine de la lutte);Michel Houellebecq;1994;Whatever;1999
3270;What's the Worst That Could Happen?;Donald E. Westlake;1996;What's the Worst That Could Happen?;2001
3271;The Wheels Spins;Ethel Lina White;1936;The Lady Vanishes;1938
3274;When Eight Bells Toll;Alistair MacLean;1966;When Eight Bells Toll;1971
3275;When Knighthood Was in Flower;Charles Major;1898;When Knighthood Was in Flower (1908);1908
3278;When Worlds Collide;NaN;NaN;When Worlds Collide;1951
3279;Where the Boys Are;Glendon Swarthout;1960;Where the Boys Are;1960
3281;Where the Red Fern Grows;Wilson Rawls;1961;Where the Red Fern Grows;1974
3282;Whistle Stop;Maritta Wolff;1941;Whistle Stop;1946
3283;White Banners;Lloyd C. Douglas;1936;White Banners;1938
3284;White Dog;Romain Gary;1970;White Dog;1982
3285;White Fang;Jack London;1906;White Fang;1925
3300;White Shark;Peter Benchley;1994;Creature;1998
3301;The White Ship;Donald G. Payne;1975;The White Ship;1976
3302;The White Stallions of Vienna;Alois Podhajsky;1963;Miracle of the White Stallions;1963
3303;Who?;Algis Budrys;1958;Who?;1973
3304;Who Censored Roger Rabbit?;Gary K. Wolf;1981;Who Framed Roger Rabbit;1988
3305;Who Lie in Gaol;Joan Henry;1952;The Weak and the Wicked;1953
3306;Who Rides with Wyatt;Henry Wilson Allen;1955;Young Billy Young;1969
3307;Why Me?;Donald E. Westlake;1983;Why Me?;1990
3308;Wicked Water;MacKinlay Kantor;1949;Wicked Water;1953
3309;Wide Sargasso Sea;Jean Rhys;1966;Wide Sargasso Sea;1993
3311;A Widow for One Year;John Irving;1998;The Door in the Floor;2004
3312;The Wild Heart (Spanish: Corazón salvaje);Caridad Bravo Adams;1957;Corazón salvaje;1956
3315;Wild Horse Mesa;Zane Grey;1928;Wild Horse Mesa;1925
3318;Wild Justice;Wilbur Smith;1979;Wild Justice (a. k. a. Covert Assassin);1993
3319;Will O' the Wisp (French: Le feu follet);Pierre Drieu La Rochelle;1931;The Fire Within;1963
3321;The Willing Flesh;Willi Heinrich;1955;Cross of Iron;1977
3322;Wilt;Tom Sharpe;1976;Wilt;1989
3323;The Wind in the Willows;Kenneth Grahame;1908;The Adventures of Ichabod and Mr. Toad;1949
3334;The Wings of the Dove;Henry James;1902;The Wings of the Dove;1981
3336;Winnie-the-Pooh;A.A. Milne;1926;The Many Adventures of Winnie the Pooh;1977
3353;Winter Meeting;Grace Zaring Stone;1946;Winter Meeting;1948
3354;Winter's Bone;Daniel Woodrell;2006;Winter's Bone;2010
3355;The Winter of Our Discontent;John Steinbeck;1961;The Winter of Our Discontent;1983
3356;Wise Blood;Flannery O'Connor;1952;Wise Blood;1979
3357;The Witches;Roald Dahl;1983;The Witches;1990
3359;The Witches of Eastwick;John Updike;1984;The Witches of Eastwick;1987
3360;Witchfinder General;Ronald Bassett;1966;Witchfinder General;1968
3361;Witch's Milk;Peter De Vries;1968;Pete 'n' Tillie;1972
3362;The Witnesses;Anne Holden;1971;The Bedroom Window;1987
3363;Woe to Live On;Daniel Woodrell;1987;Ride with the Devil;1999
3364;The Wolfen;Whitley Strieber;1978;Wolfen;1981
3365;The Woman and the Puppet (French: La Femme et le pantin);Pierre Louÿs;1898;The Woman and the Puppet;1920
3370;The Woman Chaser;Charles Willeford;1960;The Woman Chaser;1999
3371;The Woman in Black;Susan Hill;1983;The Woman in Black;1989
3374;The Woman in the Dunes (砂の女, Suna no Onna);Kōbō Abe;1962;Woman in the Dunes;1964
3375;The Woman in White;NaN;NaN;The Woman in White;1912
3382;Woman, Thou Art Loosed!: Healings the Wounds of the Past;T. D. Jakes;1993;Woman Thou Art Loosed;2004
3383;Woman Wanted;Joanna McClelland Glass;1984;Woman Wanted;2000
3384;Women in Love;D. H. Lawrence;1920;Women in Love;1969
3385;The Women of Brewster Place;Gloria Naylor;1982;The Women of Brewster Place;1989
3386;Wonder Boys;Michael Chabon;1995;Wonder Boys;2000
3387;The Wonderful Country;Thomas C. Lea, III;1952;The Wonderful Country;1952
3388;The Wonderful Wizard of Oz;L. Frank Baum;1900;The Fairylogue and Radio-Plays;1908
3411;The World According to Garp;John Irving;1978;The World According to Garp;1982
3412;The World in His Arms;Rex Beach;1946;The World in His Arms;1952
3413;The World of Henry Orient;Nora Johnson;1956;The World of Henry Orient;1964
3414;The Wreck of the Mary Deare;Hammond Innes;1956;The Wreck of the Mary Deare;1959
3415;A Wrinkle in Time;Madeleine L'Engle;1962;A Wrinkle in Time;2003
3417;The Wrong Box;Robert Louis Stevenson and Lloyd Osbourne;1889;The Wrong Box;1966
3418;Wuthering Heights;Emily Brontë;1847;Wuthering Heights;1939
3425;The Year of Living Dangerously;Christopher Koch;1978;The Year of Living Dangerously;1982
3426;The Year of the Angry Rabbit;Russell Braddon;1964;Night of the Lepus;1972
3427;The Year of the Horse;Eric S. Hatch;1965;The Horse in the Gray Flannel Suit;1968
3428;The Year of the Jellyfish (French: L'Année des méduses);Christopher Frank;1983;Year of the Jellyfish;1984
3429;Yellowstone Kelly;Henry Wilson Allen;1958;Yellowstone Kelly;1959
3430;Yield to the Night;Joan Henry;1954;Yield to the Night;1956
3431;Yo, Puta;Isabel Pisano;2003;Whore;2004
3432;You Only Live Twice;Ian Fleming;1964;You Only Live Twice;1967
3433;You're Best Alone;Norah Lofts;1943;Guilt Is My Shadow;1950
3434;Your Ticket Is No Longer Valid;Romain Gary;1977;Your Ticket Is No Longer Valid;1981
3435;Young Adam;Alexander Trocchi;1957;Young Adam;2003
3436;Young Man of Manhattan;Katharine Brush;1930;Young Man of Manhattan;1930
3437;Young Man with a Horn;Dorothy Baker;1938;Young Man with a Horn;1950
3438;Zazie in the Metro (French: Zazie dans le métro);Raymond Queneau;1959;Zazie in the Metro;1960
3439;Zero Focus (雪国, Zero no Shōten);Seichō Matsumoto;1959;Zero Focus;1961
3440;Zift (Bulgarian: Дзифт, Dzift);Vladislav Todorov;2006;Zift;2008
3441;Zona Zamfirova;Stefan Sremac;1906;Zona Zamfirova;2002
3442;Zorba the Greek;Nikos Kazantzakis;1946;Zorba the Greek;1964
