ID;FictionWork;FictionWorkAuthor;FictionWorkYear;FirstFilmAdaptation;FilmAdaptationYear
378;Birdy;William Wharton;1978;Birdy;1984
379;The Bishop's Wife;Robert Nathan;1928;The Bishop's Wife;1947
381;The Bitch;Jackie Collins;1979;The Bitch;1979
382;Bitter Moon (French: Lunes de fiel);Pascal Bruckner;1981;Bitter Moon;1992
383;The Bitter Tea of General Yen;Grace Zaring Stone;1932;The Bitter Tea of General Yen;1933
384;Black Alibi;Cornell Woolrich;1942;The Leopard Man;1943
385;The Black Angel;Cornell Woolrich;1943;Black Angel;1946
386;The Black Arrow: A Tale of the Two Roses;Robert Louis Stevenson;1888;The Black Arrow;1911
391;Black Beauty;Anna Sewell;1877;Your Obedient Servant;1917
401;The Black Camel;Earl Derr Biggers;1929;The Black Camel;1931
402;The Black Curtain;Cornell Woolrich;1941;Street of Chance;1942
403;The Black Dahlia;James Ellroy;1987;The Black Dahlia;2006
404;Black Narcissus;Rumer Godden;1939;Black Narcissus;1947
405;The Black Path of Fear;Cornell Woolrich;1944;The Chase;1946
406;Black Rain (黒い雨, Kuroi Ame);Masuji Ibuse;1965;Black Rain;1989
407;The Black Rose;Thomas B. Costain;1945;The Black Rose;1950
408;The Black Stallion;Walter Farley;1941;The Black Stallion;1979
411;Black Sunday;Thomas Harris;1971;Black Sunday;1977
412;The Blackboard Jungle;Evan Hunter;1954;Blackboard Jungle;1955
413;Blackbeard's Ghost;Ben Stahl;1965;Blackbeard's Ghost;1968
414;The Blank Wall;Elisabeth Sanxay Holding;1947;The Reckless Moment;1949
416;Blaze of Noon;Ernest K. Gann;1946;Blaze of Noon;1947
417;Le Blé en herbe;Colette;1923;Le Blé en herbe;1954
419;Bleak House;NaN;NaN;Bleak House;1920
421;Bless the Beasts and Children;Glendon Swarthout;1970;Bless the Beasts & Children;1971
422;Bless the Child;Cathy Cash Spellman;1993;Bless the Child;2000
423;The Blessing;Nancy Mitford;1951;Count Your Blessings;1959
424;Blood and Chocolate;Annette Curtis Klause;1997;Blood & Chocolate;2007
425;Blood and Sand (Spanish: Sangre y arena);Vicente Blasco Ibáñez;1909;Blood and Sand;1916
429;Blood Brother;Elliott Arnold;1947;Broken Arrow;1950
430;Blood on the Moon (1941);NaN;NaN;Blood on the Moon;1948
431;Blood on the Moon;James Ellroy;1984;Cop;1988
432;The Blood Oranges;John Hawkes;1970;The Blood Oranges;1997
433;Blood Red Rivers (French: Les rivières pourpres);Jean-Christophe Grangé;1997;The Crimson Rivers;2000
435;Blood Work;Michael Connelly;1998;Blood Work;2002
436;Blue Boy (French: Jean le Bleu);Jean Giono;1932;The Baker's Wife (French: La femme du boulanger);1938
437;Blue Fin;Colin Thiele;1969;Blue Fin;1978
438;The Blue Lagoon;Henry De Vere Stacpoole;1908;The Blue Lagoon;1923
441;The Blue Room (French: La Chambre bleue);Georges Simenon;1964;The Blue Room (Spanish: La habitación azul);2002
442;Blueprint (German: Blaupause);Charlotte Kerner;1999;Blueprint;2003
443;The Body;Richard Sapir;1983;The Body;2001
444;The Body Snatchers;Jack Finney;1955;Invasion of the Body Snatchers;1956
449;Bomba, the Jungle Boy;Roy Rockwood;1926;Bomba, the Jungle Boy;1949
450;The Bonfire of the Vanities;Tom Wolfe;1987;The Bonfire of the Vanities;1990
451;Bonjour Tristesse (Hello Sadness);Françoise Sagan;1954;Bonjour Tristesse;1958
452;Boogiepop and Others;Kouhei Kadono;1998;Boogiepop and Others;2000
453;The Book of Daniel;E. L. Doctorow;1971;Daniel;1983
454;The Boat (German: Das Boot);Lothar-Günther Buchheim;1973;Das Boot (The Boat);1981
455;The Border Jumpers;Will C. Brown;1955;Man of the West;1958
456;The Border Legion;Zane Grey;1916;The Border Legion;1924
458;Border Town;Carroll Graham;1934;Bordertown;1935
459;The Borrowers;Mary Norton;1952;The Borrowers;1973
462;The Bostonians;NaN;NaN;The Bostonians;1984
463;Botchan (Japanese: 坊っちゃん);Natsume Sōseki;1906;Botchan;1935
469;Bourne;Robert Ludlum and Eric Van Lustbader;1980;The Bourne Identity;1988
475;The Boy in the Striped Pyjamas;John Boyne;2006;The Boy in the Striped Pyjamas;2008
476;Boy on a Dolphin;David Divine;1955;Boy on a Dolphin;1957
477;The Boys from Brazil;Ira Levin;1976;The Boys from Brazil;1978
478;The Bravados;Frank O'Rourke;1958;The Bravados;1958
479;The Brave Bulls;Thomas C. Lea III;1949;The Brave Bulls;1951
480;The Brave Cowboy;Edward Abbey;1956;Lonely Are the Brave;1962
481;The Brave Little Toaster;Thomas M. Disch;1986;The Brave Little Toaster;1987
484;The Brave Little Toaster Goes to Mars;Thomas M. Disch;1988;NaN;NaN
485;Brave New World;Aldous Huxley;1932;Brave New World;1980
487;Breakfast of Champions;Kurt Vonnegut, Jr.;1973;Breakfast of Champions;1999
488;Breakfast on Pluto;Patrick McCabe;1998;Breakfast on Pluto;2005
489;Breakfast with Scot;Michael Downing;1999;Breakfast with Scot;2007
490;Breakheart Pass;Alistair MacLean;1974;Breakheart Pass;1975
491;Breaking Smith's Quarter Horse;Paul St. Pierre;1966;Smith!;1969
492;The Bride Wore Black;Cornell Woolrich;1940;The Bride Wore Black;1967
493;Brideshead Revisited, The Sacred & Profane Memories of Captain Charles Ryder;Evelyn Waugh;1945;Brideshead Revisited;2008
494;The Bridge of San Luis Rey;Thornton Wilder;1927;The Bridge of San Luis Rey;1929
