authorID,authorName
567,Martina Reilly
568,Russell Novotny
569,Angel M.Y. Lin
570,Grant R. Osborne
571,Patrick Stewart
572,Hari Kunzru
573,Roma Gill
574,Catharine Peters
575,Peter Doggett
576,Charlotte Mitchell
577,A.N. Roquelaure
578,Desmond Morris
579,Joseph L. Birman
580,Theodore Morrison
581,Philippa Pearce
582,Edna Hatlestad Hong
583,Rainer Funk
584,Bill Brown
585,Mike  Rowe
586,Dirk Cussler
587,John T. Goldthwait
588,Tobin Larson
589,John Mortimer
590,Brett Booth
591,Fritha Goodey
592,Susan  Griffith
593,Edgar Rice Burroughs
594,Edward McCrorie
595,Richard Giannone
596,John M. Lynch
597,Thomas DePietro
598,Rufus Beck
599,Paula S. Fass
600,Sharon Rose Wilson
601,Barbara Bottner
602,Harold Beaver
603,Vernon J. Bourke
604,Mary Warnock
605,Sergei Nilus
606,Stephen Colbert
607,Leon Uris
608,Patrice Louinet
609,Peter Theroux
610,Michael Henry Heim
611,Nicholson Baker
612,Eddie Robson
613,Sylvia Engdahl
614,Peter   Sutton
615,Gilbert Achcar
616,Sachiko Sato
617,Red Pine
618,Regina Sexton
619,Alfred Siewers
620,John L. Simons
621,Jack Hirschman
622,Mark Eisner
623,David Levithan
624,Anne Brontë
625,James H. Nichols Jr.
626,Immanuel Kant
627,Jen Lancaster
628,Mary Cregan
629,Arthur Yorinks
630,Stephen R. Graves
631,E.F. Bleiler
632,Jacqueline Bloom Stanfield
633,Sara Gruen
634,Matt Busch
635,Marianne Sturman
636,Ellen Conroy Kennedy
637,Ernest Alfred Vizetelly
638,Patrick Lawlor
639,Michael O. Tunnell
640,David Thomas Lord
641,Kathy Emery
642,Arthur Raleigh Humphreys
643,James Jean
644,Edmund F.N. Jephcott
645,Skip Williams
646,Denis Johnson
647,Colin Wiggins
648,Roger Wilmut
649,Erasmus
650,Jane Kentish
651,Larry Dixon
652,Alan Paton
653,Catherine Spencer
654,Patrick O'Brian
655,Tim Freke
656,Charles Guignon
657,Jason Winters
658,Alan Greenspan
659,L.P. De Castelvecchio
660,John Piper
661,George Clayton Johnson
662,Chie Shinohara
663,Howard Porter
664,Sue Miller
665,Henry Louis Gates Jr.
666,Andrew Cartmel
667,Jennifer Roberson
668,Diane Dillon
669,Kate Paulk
670,Nadeem Aslam
671,Lin Salamo
672,Donald  Lloyd
673,Bob Woodward
674,Helen L. Taylor
675,Michael D. Coe
676,James Robert Smith
677,John Mason
678,Black Elk
679,Hilary Putnam
680,Samantha Hunt
681,Let's Go Inc.
682,Bill Plaschke
683,John Lange
684,Babette Rothschild
685,J. Ed Komoszewski
686,Jules Feiffer
687,Mamie Harmon
688,Judith Cornell
689,Elvis Costello
690,Barbara Bretton
691,Iraj Pezeshkzad
692,Charles Johnston
693,Jeremy Lewis
694,Nick Lane
695,Deborah Jones
696,Emmanuel Le Roy Ladurie
697,Jeffrey Ford
698,Christina Dodd
699,Henry James
700,Michael Martchenko
701,Susan  Jeffers
702,Ellen Gordon Reeves
703,F.F. Bruce
704,Tony DiTerlizzi
705,Arthur Edward Waite
706,Anna Fields
707,Luann Walther
708,David Jou i Mirabent
709,Graham Tulloch
710,Peter Putnam
711,E. Dale Saunders
712,Jonathan Yardley
713,Yareli Arizmendi
714,P. Craig Russell
715,Noël Coward
716,Debra Marquart
717,Rona Sharon
718,Jee-Hyung Lee
719,محمود منقذ الهاشمي
720,Napoleon Hill
721,Eric Homberger
722,Edward W. Said
723,Andy Hertzfeld
724,David G. Hartwell
725,Gloria Naylor
726,Lincoln Child
727,Miriam Toews
728,Josef Pieper
729,Simon Perchik
730,Loren K. Jones
731,Tom Brokaw
732,Robert J. Milch
733,Lizzie Collingham
734,Elizabeth Hall Witherell
735,Melvyn Grant
736,Mark Dawidziak
737,James L. Jarrett
738,Shirley Jackson
739,Andrew Delbanco
740,Edward G. Brown
741,Sophie Braimbridge
742,Terri Apter
743,Annie Sparrow
744,Bernard Lewis
745,Kate Hemphill
746,Stephen  Moore
747,Susanne Kuhlmann-Krieg
748,William T. Vollmann
749,J.H. Lourey
750,Scott M. Fischer
751,Iyanla Vanzant
752,Clayborne Carson
753,James Patrick Kelly
754,Rumiko Takahashi
755,Mark Bego
756,Hayao Miyazaki
757,Richard Corman
758,Dave Barry
759,Carol Emshwiller
760,Gordon Bowker
761,Arthur M. Schlesinger Jr.
762,Pete Hautman
763,W.M. Geldart
764,E.M. Forster
765,Allen Mandelbaum
766,Magnus J. Kruyski
767,Peter Sanderson
768,Adrian    Reynolds
769,D.W. Buffa
770,Sheelagh Alabaster
771,Robin Landa
772,Miguel Sáenz
773,Salman Rushdie
774,Naguib Mahfouz
775,Richard H. Rovere
776,Lawrence Rainey
777,Jacob Grimm
778,Harrison Edward Livingstone
779,Douglas Niles
780,Geoffrey Warnock
781,Friedrich Dürrenmatt
782,David Bellos
783,Julian Caldecott
784,Jerry Spinelli
785,Denise Grollmus
786,Tanya Bastianich Manuali
787,Stan Berenstain
788,Guy Cardwell
789,Celeste Davidson Mannis
790,Kathryn Sutherland
791,Joe Yamazaki
792,Miles J. Stanford
793,Jahnna N. Malcolm
794,Sue Conklin
795,Rudolph R. Windsor
796,Walter Jon Williams
797,Robert Crais
798,Ernesto Laclau
799,Michael D'Orso
800,Nick Webb
801,Zilpha Keatley Snyder
802,Kathryn Hewitt
803,Chris Van Dusen
804,A.J. McAllister
805,Thomas  Christensen
806,Lynn Stegner
807,Richard Buxton
808,Gregory Stevenson
809,Alonzo C. Addison
810,Michael York
811,Michael Atiyeh
812,Jerry Seinfeld
813,Janette Oke
814,Peter K. Smith
815,Kenneth C. Laudon
816,Chalmers Johnson
817,Andre Dubus
818,Jack Higgins
819,Madga Bogin
820,Jean-Jacques Sempé
821,Eliza Minot
822,Barry  Lopez
823,Mildred Benson
824,Ronald J. Faust
825,Campbell Scott
826,Jesse Hassenger
827,William Empson
828,Elaine Steinbeck
829,Kilian Plunkett
830,Benjamin F. Fisher
831,Tudor Humphries
832,Darren Aronofsky
833,Maud Petersham
834,Peter Matthiessen
835,Thom Hartmann
836,Mark D. Widome
837,Paul Galdone
838,Piers Anthony
839,Grif Stockley
840,George M. Towle
841,Margaret Jull Costa
842,NOT A BOOK
843,Edna St. Vincent Millay
844,Beth Hensperger
845,Max Barry
846,David Kopp
847,B. Litt
848,Francine du Plessix Gray
849,Linda Gregg
850,Throbbing Gristle
851,Erroll McDonald
852,Dalai Lama XIV
853,Michela Wrong
854,Peter Biskind
855,William Cronon
856,Peter Elkind
857,Emmanuel Le Roy-Ladurie
858,Jeff Shaara
859,Suzanne Higgins
860,Thomas Colchie
861,Neil Cole
862,Michaela Muntean
863,Sylvère Lotringer
864,Robert Sandberg
865,Adam Mars-Jones
866,Mary Ashworth
867,Don Freeman
868,Jae Lee
869,Hugh Bicheno
870,Tom Bissell
871,Pat Harrigan
872,Robert Faggen
873,Deborah Garrison
874,William J. Pieper
875,Martin Luther King Jr.
876,Jonathan Davis
877,Doug Moench
878,Edward Asner
879,Dan Jurgens
880,John M. Dillon
881,Laura Furman
882,Scott Siegel
883,Bob Spitz
884,Anthony Hern
885,Joseph Bruchac
886,Nancy Sheehan
887,Susan Gubar
888,Robert Lindsey
889,Rafael Carpintero
890,Laura Driscoll
891,David Bodanis
892,William Gibson
893,Robert Paul Lamb
894,Carolyn McCarthy
895,Akhil   Sharma
896,Peter Reinhart
897,Dorothea Frede
898,Julie A. Schrader
899,Anne Olivier Bell
900,Mimi Dietrich
901,Joel Smith
902,Leonardo da Vinci
903,Ingrid Christopherson
904,Raina Telgemeier
905,David K. Shipler
906,Andrew Robert Burn
907,Pascal Lemaître
908,Kim Wilson
909,Lynda Madison
910,Molly C. Lee
911,Betty Friedan
912,Glenn O'Brien
913,Diana Schutz
914,Marco Polo
915,Robert Hardy Baker
916,Rob White
917,Michel Etienne
918,Van H. Cartmell
919,Erik Larson
920,Brian Stableford
921,David Petersen
922,Michael Avi-Yonah
923,Dorothy Lobrano Guth
924,Hanon W. Russell
925,Alfred D. Chandler Jr.
926,Louis Slobodkin
927,Charles Wheelan
928,Julie Rose
929,Bernard Frechtman
930,Trevanian
931,Doreen Cronin
932,محمدعلی مهمان‌نوازان
933,Adrian Esteban
934,Doyle Partners
935,David Barsamian
936,Daniel Abdal-Hayy Moore
937,Walter Hamilton
938,Aesop
939,Clive Cussler
940,Robertson Davies
941,Susanna Kaysen
942,John Clapp
943,Seymour L. Gross
944,Wendell Minor
945,Peter  Van Houten
946,Allegra Goodman
947,Anthony Rizcallah Ferris
948,Goran Parlov
949,Daniela Gamba
950,Rolland Hein
951,Simon Wells
952,David Filkin
953,Virginia Alcott Sadock
