ratingID,bookID,average_rating,ratings_count,text_reviews_count
1229,4248,3.84,13934,1459
1230,4249,3.84,91,16
1231,4250,3.84,3276,190
1232,4251,3.64,533,50
1233,4256,4.56,3141,140
1234,4259,3.88,2636,302
1235,4260,3.73,6828,621
1236,4261,3.56,10066,341
1237,4263,3.68,393,4
1238,4264,3.74,28830,1069
1239,4267,3.94,827,101
1240,4273,3.8,825,73
1241,4277,3.59,450,63
1242,4278,3.73,5723,695
1243,4287,5.0,2,0
1244,4295,3.82,900,48
1245,4300,4.11,327,46
1246,4314,3.82,975,62
1247,4315,3.55,122,12
1248,4325,3.91,70043,3881
1249,4326,4.02,327,7
1250,4329,3.97,98,2
1251,4331,3.9,1313,28
1252,4332,4.0,339,9
1253,4337,4.01,2218,172
1254,4338,3.96,7205,825
1255,4339,4.23,13108,795
1256,4341,3.62,1291,100
1257,4346,4.21,3472,30
1258,4352,3.53,57,14
1259,4359,4.0,27,7
1260,4360,4.29,1505,119
1261,4362,4.12,643,61
1262,4364,3.93,9024,637
1263,4370,3.96,4820,524
1264,4372,4.14,3534,320
1265,4373,4.35,26524,2609
1266,4382,3.99,483,146
1267,4390,3.78,4694,133
1268,4394,4.0,838,51
1269,4397,3.96,7044,639
1270,4398,3.81,30,5
1271,4399,3.96,37,8
1272,4404,4.11,1211,169
1273,4405,3.8,1876,244
1274,4407,4.11,383045,15962
1275,4408,4.37,3942,396
1276,4411,3.98,99,15
1277,4415,4.37,83,18
1278,4417,4.18,679,116
1279,4418,3.22,9,0
1280,4424,4.07,7981,307
1281,4434,3.56,175,9
1282,4435,4.03,1158,91
1283,4436,3.72,667,70
1284,4451,3.98,6256,459
1285,4454,4.05,1314,98
1286,4465,4.36,5906,140
1287,4472,4.23,1073,97
1288,4477,4.26,33828,2237
1289,4479,3.91,109,13
1290,4487,3.57,965,49
1291,4488,3.49,1104,34
1292,4515,3.77,5119,217
1293,4519,3.9,3690,518
1294,4520,3.7,3602,325
1295,4524,4.26,1278,175
1296,4525,3.77,180,10
1297,4540,3.57,308,30
1298,4579,3.98,60,9
1299,4580,3.95,2045,230
1300,4583,3.9,1764,191
1301,4584,3.9,5210,522
1302,4588,3.98,335477,19241
1303,4591,4.04,20695,714
1304,4593,3.86,63,3
1305,4595,3.83,272,23
1306,4599,4.09,11095,880
1307,4600,4.2,28925,527
1308,4601,4.24,348,33
1309,4602,4.1,7823,250
1310,4605,3.46,6441,492
1311,4606,4.07,161,41
1312,4608,3.55,37,1
1313,4610,3.98,5517,452
1314,4620,4.0,3730,142
1315,4623,3.52,606,45
1316,4624,3.97,11,1
1317,4625,4.29,30081,649
1318,4626,3.9,132,24
1319,4627,3.97,162,7
1320,4631,4.04,82993,4808
1321,4633,3.88,11265,471
1322,4637,3.87,186,24
1323,4641,4.26,219,21
1324,4642,3.82,45,9
1325,4651,4.3,43,6
1326,4653,3.63,198,33
1327,4654,3.42,1841,112
1328,4656,3.31,25257,977
1329,4657,3.35,10479,251
1330,4658,3.3,8896,217
1331,4660,3.24,11346,280
1332,4662,4.23,12039,164
1333,4664,4.22,186,13
1334,4666,3.75,8,1
1335,4669,4.0,100,11
1336,4670,3.82,1354,140
1337,4673,3.88,557,28
1338,4674,3.91,258,58
1339,4675,3.91,63,13
1340,4676,3.7,78,13
1341,4677,3.91,2729,245
1342,4680,3.33,1750,228
1343,4681,3.83,5073,222
1344,4682,3.75,3655,162
1345,4683,3.86,5163,179
1346,4685,3.67,6093,447
1347,4686,3.81,506,50
1348,4692,4.37,23114,1175
1349,4693,3.39,2680,142
1350,4695,3.69,921,44
1351,4696,4.1,4360,189
1352,4698,4.32,69,8
1353,4700,4.12,493,24
1354,4703,3.31,418,37
1355,4704,3.57,1,0
1356,4714,3.76,83,14
1357,4717,3.73,549,80
1358,4723,4.42,41,4
1359,4738,3.83,332,9
1360,4739,3.85,893,34
1361,4742,3.97,91,11
1362,4745,3.85,20,2
1363,4746,3.56,16,1
1364,4752,4.23,11,0
1365,4764,3.75,55,5
1366,4767,3.92,259,9
1367,4777,4.14,383,19
1368,4796,3.99,32091,1517
1369,4799,4.04,96408,3909
1370,4801,4.41,884,25
1371,4802,3.83,438,38
1372,4803,3.84,3427,276
1373,4805,3.97,179,20
1374,4806,3.97,47453,1865
1375,4808,3.53,1,0
1376,4812,4.5,10,2
1377,4813,3.6,11751,893
1378,4817,3.27,20,1
1379,4820,3.87,31384,2255
1380,4824,4.44,6,2
1381,4829,4.44,26,1
1382,4830,3.88,11418,743
1383,4832,3.98,364,46
1384,4835,4.01,22378,1613
1385,4836,3.29,6711,354
1386,4845,4.29,7059,326
1387,4864,4.17,111,6
1388,4866,4.12,61639,1607
1389,4870,3.96,1907,121
1390,4873,4.08,3713,103
1391,4887,4.09,12436,619
1392,4888,4.09,97,10
1393,4894,3.8,311436,8421
1394,4898,3.91,46064,871
1395,4900,3.42,321078,8423
1396,4906,3.58,3761,177
1397,4907,3.42,92,11
1398,4909,3.75,26508,2019
1399,4916,4.11,711,64
1400,4921,3.89,38313,2811
1401,4922,3.89,213,32
1402,4924,3.89,52,8
1403,4925,3.89,786,125
1404,4926,4.08,2318,182
1405,4929,4.14,225397,12452
1406,4933,4.32,983,91
1407,4934,4.32,191531,6795
1408,4935,4.32,1673,184
1409,4936,4.32,617,80
1410,4938,4.32,20,2
1411,4940,4.32,1089,202
1412,4942,3.5,4,0
1413,4943,4.44,1455,193
1414,4944,4.29,3945,262
1415,4945,4.32,65,10
1416,4947,4.05,2114,166
1417,4950,3.95,11838,815
1418,4951,3.96,749,46
1419,4952,4.16,65767,6203
1420,4953,3.68,157572,8463
1421,4954,3.63,25811,1463
1422,4955,3.75,12007,659
1423,4956,3.75,488,38
1424,4963,3.97,20,3
1425,4964,4.5,4,0
1426,4965,4.01,120736,8549
1427,4966,3.51,55,9
1428,4978,4.18,127168,2801
1429,4979,4.07,34339,2061
1430,4981,4.07,1001671,19056
1431,4983,4.35,28254,196
1432,4986,3.84,12754,558
1433,4987,3.82,17881,593
1434,4988,3.87,3183,115
1435,4989,4.17,470858,15859
1436,4990,3.96,181,16
1437,4991,4.13,440,55
1438,4997,3.88,618,38
1439,4999,4.14,2583,183
1440,5004,3.68,878,9
1441,5005,4.29,244,17
