id,bookID,authorID
708,1428,3287
709,1429,8101
710,1429,1263
711,1431,8101
712,1431,841
713,1431,5054
714,1433,5448
715,1433,4162
716,1433,5845
717,1437,7663
718,1438,5448
719,1438,111
720,1439,128
721,1439,5163
722,1440,5151
723,1440,8857
724,1441,5151
725,1441,7224
726,1444,5151
727,1444,8857
728,1445,5151
729,1445,1435
730,1449,5151
731,1449,544
732,1449,467
733,1459,5151
734,1459,8857
735,1461,4761
736,1462,4244
737,1462,6613
738,1462,3354
739,1462,1022
740,1462,7131
741,1463,4244
742,1463,3354
743,1463,6613
744,1463,5269
745,1463,4973
746,1463,8706
747,1465,4244
748,1465,3354
749,1465,6613
750,1465,8706
751,1465,4314
752,1465,6434
753,1466,8318
754,1466,4244
755,1467,4244
756,1467,1972
757,1467,4054
758,1468,4244
759,1468,3354
760,1468,6613
761,1468,8706
762,1468,3969
763,1468,5046
764,1470,4244
765,1470,3354
766,1470,6613
767,1470,6130
768,1470,8706
769,1473,4244
770,1473,3335
771,1473,1634
772,1474,4244
773,1474,3781
774,1475,4244
775,1475,4558
776,1476,4244
777,1476,3335
778,1476,1634
779,1479,4244
780,1479,2759
781,1479,513
782,1480,4244
783,1480,6808
784,1480,3638
785,1486,4244
786,1488,7629
787,1489,4244
788,1489,2364
789,1489,4609
790,1491,4244
791,1491,3781
792,1494,4244
793,1494,8706
794,1495,4244
795,1495,3781
796,1499,4244
797,1499,4039
798,1499,1579
799,1504,8237
800,1506,732
801,1509,4244
802,1509,3781
803,1510,4244
804,1510,3781
805,1511,4244
806,1511,5267
807,1515,4244
808,1515,3354
809,1515,6613
810,1516,376
811,1516,3354
812,1516,6613
813,1517,376
814,1517,3354
815,1517,6613
816,1517,4189
817,1518,376
818,1518,4977
819,1518,513
820,1519,376
821,1519,4380
822,1519,144
823,1521,376
824,1521,9118
825,1521,3117
826,1523,376
827,1523,1321
828,1525,376
829,1525,6285
830,1526,376
831,1526,84
832,1526,9095
833,1527,376
